State,Year,Per_capita_consumption
Alabama,2016,2.01
Alabama,2015,2.01
Alabama,2014,2
Alabama,2013,1.99
Alabama,2012,2
Alabama,2011,1.98
Alabama,2010,1.98
Alabama,2009,1.98
Alabama,2008,2.01
Alabama,2007,2
Alabama,2006,1.95
Alabama,2005,1.91
Alabama,2004,1.91
Alabama,2003,1.9
Alabama,2002,1.92
Alabama,2001,1.86
Alabama,2000,1.88
Alabama,1999,1.87
Alabama,1998,1.85
Alabama,1997,1.82
Alabama,1996,1.88
Alabama,1995,1.82
Alabama,1994,1.87
Alabama,1993,1.86
Alabama,1992,1.79
Alabama,1991,1.76
Alabama,1990,1.92
Alabama,1989,1.9
Alabama,1988,1.92
Alabama,1987,1.91
Alabama,1986,1.92
Alabama,1985,1.92
Alabama,1984,1.91
Alabama,1983,1.9
Alabama,1982,1.9
Alabama,1981,1.91
Alabama,1980,1.86
Alabama,1979,1.9
Alabama,1978,1.92
Alabama,1977,1.92
Alaska,2016,2.94
Alaska,2015,2.84
Alaska,2014,2.79
Alaska,2013,2.75
Alaska,2012,2.83
Alaska,2011,2.86
Alaska,2010,3.03
Alaska,2009,3.02
Alaska,2008,2.78
Alaska,2007,2.53
Alaska,2006,2.75
Alaska,2005,2.64
Alaska,2004,2.71
Alaska,2003,2.43
Alaska,2002,2.99
Alaska,2001,2.67
Alaska,2000,2.68
Alaska,1999,2.74
Alaska,1998,2.71
Alaska,1997,2.56
Alaska,1996,2.63
Alaska,1995,2.86
Alaska,1994,3.03
Alaska,1993,2.55
Alaska,1992,3.02
Alaska,1991,3.11
Alaska,1990,3.33
Alaska,1989,3.15
Alaska,1988,3.21
Alaska,1987,3.38
Alaska,1986,3.45
Alaska,1985,3.68
Alaska,1984,3.72
Alaska,1983,3.95
Alaska,1982,3.92
Alaska,1981,4.02
Alaska,1980,3.72
Alaska,1979,3.58
Alaska,1978,3.51
Alaska,1977,3.3
Arizona,2016,2.31
Arizona,2015,2.34
Arizona,2014,2.37
Arizona,2013,2.36
Arizona,2012,2.43
Arizona,2011,2.39
Arizona,2010,2.39
Arizona,2009,2.38
Arizona,2008,2.48
Arizona,2007,2.51
Arizona,2006,2.51
Arizona,2005,2.51
Arizona,2004,2.44
Arizona,2003,2.49
Arizona,2002,2.48
Arizona,2001,2.5
Arizona,2000,2.5
Arizona,1999,2.51
Arizona,1998,2.45
Arizona,1997,2.44
Arizona,1996,2.58
Arizona,1995,2.44
Arizona,1994,2.5
Arizona,1993,2.62
Arizona,1992,2.69
Arizona,1991,2.71
Arizona,1990,2.77
Arizona,1989,2.81
